trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version,event_detail,deal_ticket,position_id,modify_reason,modify_count,tx_authority,pack_dir_at_entry,active_model_pack_dir,runtime_reload_status,ea_version,log_schema_version
TS_00503,2023.03.09 21:15:00,US100,ENTRY,LONG,0.0300,12098.70000000,,11956.54000000,12383.02000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.063308,1,0.1.0,0.1.0,0.1.0,0.1,,1006,1006,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00503,2023.03.10 01:04:49,US100,EXIT,LONG,0.0300,12098.70000000,11956.35000000,11956.54000000,12383.02000000,-4.39,6.000000,12.000000,6.000000,12.000000,72,33,SL,5,0.063308,1,0.1.0,0.1.0,0.1.0,0.1,,1007,1006,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00504,2023.03.10 06:25:00,US100,ENTRY,LONG,0.0700,11934.00000000,,11873.44000000,12055.11000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.148620,1,0.1.0,0.1.0,0.1.0,0.1,,1008,1008,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00504,2023.03.10 12:25:00,US100,EXIT,LONG,0.0700,11934.00000000,12015.00000000,11873.44000000,12055.11000000,5.67,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.148620,1,0.1.0,0.1.0,0.1.0,0.1,,1009,1008,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00505,2023.03.10 12:35:00,US100,ENTRY,LONG,0.0400,12007.00000000,,11916.61000000,12187.77000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.099573,0,0.1.0,0.1.0,0.1.0,0.1,,1010,1010,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00505,2023.03.10 16:41:14,US100,EXIT,LONG,0.0400,12007.00000000,11916.60000000,11916.61000000,12187.77000000,-3.62,6.000000,12.000000,6.000000,12.000000,72,49,SL,5,0.099573,0,0.1.0,0.1.0,0.1.0,0.1,,1011,1010,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00506,2023.03.10 17:05:00,US100,ENTRY,LONG,0.0100,11945.45000000,,11711.31000000,12413.72000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.038439,1,0.1.0,0.1.0,0.1.0,0.1,,1012,1012,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00506,2023.03.10 23:05:00,US100,EXIT,LONG,0.0100,11945.45000000,11844.95000000,11711.31000000,12413.72000000,-1.01,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.038439,1,0.1.0,0.1.0,0.1.0,0.1,,1013,1012,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00507,2023.03.13 06:20:00,US100,ENTRY,LONG,0.0400,12050.05000000,,11950.88000000,12248.39000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.139153,0,0.1.0,0.1.0,0.1.0,0.1,,1014,1014,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00507,2023.03.13 11:50:10,US100,EXIT,LONG,0.0400,12050.05000000,11950.65000000,11950.88000000,12248.39000000,-3.98,6.000000,12.000000,6.000000,12.000000,72,66,SL,5,0.139153,0,0.1.0,0.1.0,0.1.0,0.1,,1015,1014,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00508,2023.03.13 12:15:00,US100,ENTRY,LONG,0.0200,11929.80000000,,11764.14000000,12261.13000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.065192,1,0.1.0,0.1.0,0.1.0,0.1,,1016,1016,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00508,2023.03.13 15:45:47,US100,EXIT,LONG,0.0200,11929.80000000,11763.65000000,11764.14000000,12261.13000000,-3.32,6.000000,12.000000,6.000000,12.000000,72,42,SL,5,0.065192,1,0.1.0,0.1.0,0.1.0,0.1,,1017,1016,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00509,2023.03.13 16:00:00,US100,ENTRY,LONG,0.0100,11778.40000000,,11521.47000000,12292.26000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.035029,1,0.1.0,0.1.0,0.1.0,0.1,,1018,1018,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00509,2023.03.13 22:00:00,US100,EXIT,LONG,0.0100,11778.40000000,12039.90000000,11521.47000000,12292.26000000,2.62,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.035029,1,0.1.0,0.1.0,0.1.0,0.1,,1019,1018,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00510,2023.03.13 22:15:00,US100,ENTRY,LONG,0.0200,12048.15000000,,11833.47000000,12477.51000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.041923,0,0.1.0,0.1.0,0.1.0,0.1,,1020,1020,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00510,2023.03.14 05:15:00,US100,EXIT,LONG,0.0200,12048.15000000,12003.75000000,11833.47000000,12477.51000000,-0.97,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.041923,0,0.1.0,0.1.0,0.1.0,0.1,,1021,1020,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
