candidate_id,search_rank,is_baseline,fold_id,regime_id,side,status,fallback_used,fallback_reason,train_count,val_count,metrics_present,raw_all_finite,effective_all_finite,contract_valid,holds_integral,normalized_effective_mae_mean,baseline_normalized_effective_mae_mean,beats_default_baseline,hold_boundary_rate
stage2_c03,3,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.23066147759973657,0.29093406252415593,True,0.0
stage2_c03,3,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.2174267047896217,0.26958696348048766,True,0.0
stage2_c03,3,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.21170572237477123,0.25049975809858144,True,0.0
stage2_c03,3,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.24522702652149042,0.31948265290864286,True,0.0
stage2_c03,3,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.23088198835821494,0.27525348652109216,True,0.0
stage2_c03,3,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.2071087736452429,0.25566328787794435,True,0.0
stage2_c03,3,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.21410062113148756,0.2558954620999288,True,0.0
stage2_c04,4,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.2741172546757999,0.37441417646561553,True,0.0
stage2_c04,4,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.23199871546132153,0.29232956310354535,True,0.0
stage2_c04,4,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.23997955160836795,0.27944487743324237,True,0.0
stage2_c04,4,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.20617282225840053,0.23848858565579364,True,0.0
stage2_c04,4,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.230261584171911,0.3041220915390247,True,0.0
stage2_c04,4,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.23552116806368806,0.3037612169916784,True,0.0
stage2_c04,4,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.20901043404292138,0.2600411164531878,True,0.0
stage2_c04,4,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.20182539025323196,0.2377448733397174,True,0.0
stage2_c04,4,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23406116396755014,0.3089520299509916,True,0.0
stage2_c04,4,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.24567755145288228,0.29829197723977874,True,0.0
stage2_c04,4,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.20243826832940803,0.25274226964712804,True,0.0010834236186348862
stage2_c04,4,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.20506905112344778,0.2456380748833956,True,0.0
stage2_c04,4,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.27848217432533456,0.387075284380857,True,0.0
stage2_c04,4,False,1,0,SHORT,trained,False,,68,16,True,True,True,True,True,0.1675420435694623,0.27951205255246897,True,0.0
stage2_c04,4,False,1,1,LONG,trained,False,,434,112,True,True,True,True,True,0.24702620712271162,0.2875899998144334,True,0.0
stage2_c04,4,False,1,1,SHORT,trained,False,,353,88,True,True,True,True,True,0.19801785265333102,0.2526462222852024,True,0.0
stage2_c04,4,False,1,2,LONG,trained,False,,1627,399,True,True,True,True,True,0.20988750516991006,0.30566111692227654,True,0.0
stage2_c04,4,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.23145009223606738,0.29093406252415593,True,0.0
stage2_c04,4,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.21686528293694254,0.26958696348048766,True,0.0
stage2_c04,4,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.2141715224741441,0.25049975809858144,True,0.0
stage2_c04,4,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.24601556515653025,0.31948265290864286,True,0.0
stage2_c04,4,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.22981222232915874,0.27525348652109216,True,0.0
stage2_c04,4,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.2092661978723609,0.25566328787794435,True,0.0
stage2_c04,4,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.21372870124604135,0.2558954620999288,True,0.0
stage2_c05,5,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.27635552741269154,0.37441417646561553,True,0.0
stage2_c05,5,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.23199871546132153,0.29232956310354535,True,0.0
stage2_c05,5,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.23865266611331906,0.27944487743324237,True,0.0
stage2_c05,5,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.20456065628098621,0.23848858565579364,True,0.0
stage2_c05,5,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.23187495680570488,0.3041220915390247,True,0.0
stage2_c05,5,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.23916537201524277,0.3037612169916784,True,0.0
stage2_c05,5,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.20952926331058483,0.2600411164531878,True,0.0
stage2_c05,5,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.20085289432429787,0.2377448733397174,True,0.0
stage2_c05,5,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23617073056689955,0.3089520299509916,True,0.0
